card_1,card_2,card_3,card_4,card_5,hand,bid,hand_type,best_card,hand2,rank
6,4,12,-1,5,64QJ5,941,1,Q,64QQ5,81
6,4,12,7,9,64Q79,944,1,Q,64Q79,82
6,4,12,13,2,64QK2,193,1,K,64QK2,83
6,8,3,10,4,683T4,413,1,T,683T4,84
6,9,10,5,8,69T58,219,1,T,69T58,85
6,10,8,9,14,6T89A,726,1,A,6T89A,86
6,10,14,12,4,6TAQ4,573,1,A,6TAQ4,87
6,12,-1,10,13,6QJTK,575,1,K,6QKTK,88
6,12,7,4,13,6Q74K,508,1,K,6Q74K,89
6,13,10,7,2,6KT72,614,1,K,6KT72,90
6,14,12,-1,4,6AQJ4,898,1,A,6AQA4,91
7,2,3,14,13,723AK,496,1,A,723AK,92
7,4,2,-1,10,742JT,531,1,T,742TT,93
7,5,2,8,4,75284,28,1,8,75284,94
7,6,2,14,8,762A8,411,1,A,762A8,95
7,8,2,14,3,782A3,148,1,A,782A3,96
7,9,14,12,13,79AQK,566,1,A,79AQK,97
7,10,-1,4,13,7TJ4K,603,1,K,7TK4K,98
7,10,9,3,5,7T935,328,1,T,7T935,99
7,10,13,2,-1,7TK2J,479,1,K,7TK2K,100
7,12,2,-1,14,7Q2JA,139,1,A,7Q2AA,101
7,14,9,-1,4,7A9J4,830,1,A,7A9A4,102
8,-1,4,10,13,8J4TK,391,1,K,8K4TK,103
8,-1,4,14,10,8J4AT,43,1,A,8A4AT,104
8,-1,5,10,13,8J5TK,651,1,K,8K5TK,105
8,-1,10,6,14,8JT6A,706,1,A,8AT6A,106
8,-1,12,13,4,8JQK4,343,1,K,8KQK4,107
8,3,4,13,-1,834KJ,540,1,K,834KK,108
8,4,9,6,5,84965,856,1,9,84965,109
8,4,12,5,10,84Q5T,925,1,Q,84Q5T,110
8,4,14,9,5,84A95,637,1,A,84A95,111
8,5,2,-1,12,852JQ,943,1,Q,852QQ,112
8,5,2,3,7,85237,136,1,8,85237,113
8,5,2,7,13,8527K,460,1,K,8527K,114
8,5,3,7,6,85376,876,1,8,85376,115
8,7,3,13,14,873KA,837,1,A,873KA,116
8,9,2,6,3,89263,467,1,9,89263,117
8,9,6,12,2,896Q2,202,1,Q,896Q2,118
8,12,3,-1,6,8Q3J6,441,1,Q,8Q3Q6,119
8,12,10,-1,3,8QTJ3,3,1,Q,8QTQ3,120
8,13,-1,9,4,8KJ94,226,1,K,8KK94,121
8,13,3,6,12,8K36Q,738,1,K,8K36Q,122
9,2,6,14,13,926AK,366,1,A,926AK,123
9,2,8,4,13,9284K,701,1,K,9284K,124
9,2,14,10,7,92AT7,236,1,A,92AT7,125
9,3,6,14,5,936A5,156,1,A,936A5,126
9,3,7,4,-1,9374J,523,1,9,93749,127
9,4,3,5,2,94352,376,1,9,94352,128
9,4,13,-1,14,94KJA,78,1,A,94KAA,129
9,6,7,13,14,967KA,748,1,A,967KA,130
9,7,4,6,-1,9746J,509,1,9,97469,131
9,7,4,12,5,974Q5,277,1,Q,974Q5,132
9,7,8,13,6,978K6,231,1,K,978K6,133
9,8,3,-1,7,983J7,909,1,9,98397,134
9,8,5,12,7,985Q7,811,1,Q,985Q7,135
9,12,2,5,-1,9Q25J,404,1,Q,9Q25Q,136
9,13,8,14,-1,9K8AJ,27,1,A,9K8AA,137
9,14,2,3,6,9A236,127,1,A,9A236,138
10,3,-1,13,12,T3JKQ,769,1,K,T3KKQ,139
10,4,6,9,13,T469K,490,1,K,T469K,140
10,4,9,-1,8,T49J8,763,1,T,T49T8,141
10,5,7,8,3,T5783,658,1,T,T5783,142
10,5,8,2,6,T5826,622,1,T,T5826,143
10,5,8,9,2,T5892,360,1,T,T5892,144
10,5,8,13,7,T58K7,151,1,K,T58K7,145
10,5,14,6,4,T5A64,574,1,A,T5A64,146
10,6,9,4,7,T6947,794,1,T,T6947,147
10,7,5,12,2,T75Q2,992,1,Q,T75Q2,148
10,8,4,3,13,T843K,218,1,K,T843K,149
10,8,7,-1,5,T87J5,942,1,T,T87T5,150
10,13,9,7,6,TK976,437,1,K,TK976,151
12,-1,3,13,4,QJ3K4,686,1,K,QK3K4,152
12,-1,6,13,3,QJ6K3,692,1,K,QK6K3,153
12,2,9,14,7,Q29A7,465,1,A,Q29A7,154
12,5,13,14,6,Q5KA6,997,1,A,Q5KA6,155
12,6,14,7,9,Q6A79,697,1,A,Q6A79,156
12,8,3,14,13,Q83AK,77,1,A,Q83AK,157
12,8,4,6,9,Q8469,286,1,Q,Q8469,158
12,9,14,10,8,Q9AT8,228,1,A,Q9AT8,159
12,10,2,7,8,QT278,663,1,Q,QT278,160
12,14,5,6,7,QA567,394,1,A,QA567,161
13,-1,3,14,2,KJ3A2,283,1,A,KA3A2,162
13,2,6,7,-1,K267J,728,1,K,K267K,163
13,2,10,3,9,K2T39,149,1,K,K2T39,164
13,2,12,6,10,K2Q6T,770,1,K,K2Q6T,165
13,3,7,4,2,K3742,282,1,K,K3742,166
13,4,7,14,-1,K47AJ,142,1,A,K47AA,167
13,5,8,3,2,K5832,730,1,K,K5832,168
13,5,10,8,12,K5T8Q,910,1,K,K5T8Q,169
13,5,12,10,4,K5QT4,98,1,K,K5QT4,170
13,6,8,5,7,K6857,758,1,K,K6857,171
13,7,3,8,12,K738Q,719,1,K,K738Q,172
13,8,9,6,10,K896T,602,1,K,K896T,173
13,9,5,14,4,K95A4,113,1,A,K95A4,174
13,9,14,8,2,K9A82,946,1,A,K9A82,175
13,10,6,5,2,KT652,29,1,K,KT652,176
13,12,3,9,7,KQ397,387,1,K,KQ397,177
13,12,5,10,-1,KQ5TJ,58,1,K,KQ5TK,178
13,14,2,8,7,KA287,90,1,A,KA287,179
13,14,6,-1,10,KA6JT,923,1,A,KA6AT,180
13,14,8,5,12,KA85Q,582,1,A,KA85Q,181
14,-1,13,6,4,AJK64,505,1,A,AAK64,182
14,2,-1,13,12,A2JKQ,799,1,A,A2AKQ,183
14,3,-1,9,13,A3J9K,765,1,A,A3A9K,184
14,4,5,-1,10,A45JT,751,1,A,A45AT,185
14,5,6,-1,10,A56JT,110,1,A,A56AT,186
14,7,3,12,-1,A73QJ,641,1,A,A73QA,187
14,7,8,6,12,A786Q,953,1,A,A786Q,188
14,8,-1,13,12,A8JKQ,855,1,A,A8AKQ,189
14,8,4,7,12,A847Q,588,1,A,A847Q,190
14,8,9,-1,12,A89JQ,97,1,A,A89AQ,191
14,9,10,8,7,A9T87,624,1,A,A9T87,192
14,12,4,-1,9,AQ4J9,532,1,A,AQ4A9,193
14,12,4,-1,10,AQ4JT,778,1,A,AQ4AT,194
14,12,8,13,10,AQ8KT,929,1,A,AQ8KT,195
-1,-1,2,4,3,JJ243,652,2,4,44243,196
-1,-1,10,2,3,JJT23,996,2,T,TTT23,197
-1,-1,12,5,6,JJQ56,885,2,Q,QQQ56,198
-1,-1,14,8,12,JJA8Q,915,2,A,AAA8Q,199
-1,2,7,3,3,J2733,215,2,3,32733,200
-1,2,8,9,-1,J289J,192,2,9,92899,201
-1,2,9,-1,4,J29J4,847,2,9,92994,202
-1,2,10,10,4,J2TT4,656,2,T,T2TT4,203
-1,2,12,3,2,J2Q32,167,2,2,22Q32,204
-1,2,12,13,13,J2QKK,384,2,K,K2QKK,205
-1,2,13,14,2,J2KA2,462,2,2,22KA2,206
-1,2,13,14,14,J2KAA,450,2,A,A2KAA,207
-1,3,13,9,13,J3K9K,281,2,K,K3K9K,208
-1,3,14,14,6,J3AA6,46,2,A,A3AA6,209
-1,4,-1,2,8,J4J28,600,2,8,84828,210
-1,4,3,8,8,J4388,881,2,8,84388,211
-1,4,4,10,13,J44TK,756,2,4,444TK,212
-1,5,10,10,2,J5TT2,827,2,T,T5TT2,213
-1,6,4,8,8,J6488,608,2,8,86488,214
-1,6,12,12,2,J6QQ2,977,2,Q,Q6QQ2,215
-1,7,12,2,7,J7Q27,124,2,7,77Q27,216
-1,7,13,12,7,J7KQ7,788,2,7,77KQ7,217
-1,8,2,8,4,J8284,714,2,8,88284,218
-1,9,-1,8,3,J9J83,976,2,9,99983,219
-1,9,3,9,13,J939K,271,2,9,9939K,220
-1,10,-1,14,6,JTJA6,427,2,A,ATAA6,221
-1,12,2,9,2,JQ292,971,2,2,2Q292,222
-1,13,3,3,6,JK336,894,2,3,3K336,223
-1,13,5,9,-1,JK59J,248,2,K,KK59K,224
-1,13,7,8,8,JK788,184,2,8,8K788,225
-1,14,8,10,10,JA8TT,718,2,T,TA8TT,226
-1,14,9,9,4,JA994,497,2,9,9A994,227
2,-1,-1,5,10,2JJ5T,725,2,T,2TT5T,228
2,-1,10,7,7,2JT77,507,2,7,27T77,229
2,2,7,13,-1,227KJ,160,2,2,227K2,230
2,2,8,14,6,228A6,860,2,2,228A6,231
2,3,4,4,9,23449,964,2,4,23449,232
2,3,14,-1,-1,23AJJ,351,2,A,23AAA,233
2,4,2,5,8,24258,591,2,2,24258,234
2,4,6,6,7,24667,757,2,6,24667,235
2,5,7,2,3,25723,817,2,2,25723,236
2,5,8,7,5,25875,7,2,5,25875,237
2,5,10,8,5,25T85,529,2,5,25T85,238
2,5,14,9,9,25A99,265,2,9,25A99,239
2,6,6,10,3,266T3,164,2,6,266T3,240
2,7,3,3,6,27336,800,2,3,27336,241
2,7,3,7,10,2737T,544,2,7,2737T,242
2,9,4,4,6,29446,464,2,4,29446,243
2,10,13,12,13,2TKQK,65,2,K,2TKQK,244
2,12,-1,7,2,2QJ72,835,2,2,2Q272,245
2,13,2,-1,3,2K2J3,332,2,2,2K223,246
2,13,4,-1,4,2K4J4,724,2,4,2K444,247
2,13,8,8,14,2K88A,33,2,8,2K88A,248
2,14,2,8,10,2A28T,859,2,2,2A28T,249
2,14,7,9,9,2A799,54,2,9,2A799,250
3,-1,13,12,-1,3JKQJ,776,2,K,3KKQK,251
3,3,8,-1,13,338JK,76,2,3,3383K,252
3,3,8,9,-1,3389J,59,2,3,33893,253
3,4,5,5,2,34552,414,2,5,34552,254
3,4,12,10,4,34QT4,214,2,4,34QT4,255
3,5,2,8,5,35285,135,2,5,35285,256
3,5,10,2,5,35T25,504,2,5,35T25,257
3,5,12,-1,5,35QJ5,616,2,5,35Q55,258
3,6,12,2,2,36Q22,940,2,2,36Q22,259
3,7,5,6,3,37563,185,2,3,37563,260
3,9,-1,4,4,39J44,592,2,4,39444,261
3,9,12,-1,9,39QJ9,576,2,9,39Q99,262
3,10,-1,2,3,3TJ23,969,2,3,3T323,263
3,10,6,10,5,3T6T5,691,2,T,3T6T5,264
3,12,7,7,8,3Q778,715,2,7,3Q778,265
3,13,12,13,6,3KQK6,482,2,K,3KQK6,266
3,13,12,13,7,3KQK7,891,2,K,3KQK7,267
3,14,10,3,-1,3AT3J,278,2,3,3AT33,268
4,-1,4,9,8,4J498,416,2,4,44498,269
4,-1,7,14,4,4J7A4,313,2,4,447A4,270
4,2,8,9,8,42898,115,2,8,42898,271
4,3,7,6,6,43766,949,2,6,43766,272
4,4,-1,7,9,44J79,742,2,4,44479,273
4,6,5,4,8,46548,749,2,4,46548,274
4,6,8,3,3,46833,13,2,3,46833,275
4,8,13,6,8,48K68,364,2,8,48K68,276
4,9,4,12,-1,494QJ,809,2,4,494Q4,277
4,9,14,4,13,49A4K,173,2,4,49A4K,278
4,12,-1,-1,10,4QJJT,491,2,Q,4QQQT,279
4,14,4,13,3,4A4K3,571,2,4,4A4K3,280
5,2,4,2,3,52423,383,2,2,52423,281
5,2,13,-1,5,52KJ5,513,2,5,52K55,282
5,3,2,12,3,532Q3,354,2,3,532Q3,283
5,3,9,3,6,53936,852,2,3,53936,284
5,4,-1,8,8,54J88,305,2,8,54888,285
5,4,9,9,7,54997,424,2,9,54997,286
5,5,-1,3,10,55J3T,739,2,5,5553T,287
5,5,-1,13,14,55JKA,347,2,5,555KA,288
5,5,9,-1,8,559J8,211,2,5,55958,289
5,5,9,-1,12,559JQ,291,2,5,5595Q,290
5,5,9,13,14,559KA,605,2,5,559KA,291
5,5,13,12,8,55KQ8,357,2,5,55KQ8,292
5,7,-1,12,5,57JQ5,150,2,5,575Q5,293
5,7,2,2,-1,5722J,772,2,2,57222,294
5,7,6,3,6,57636,474,2,6,57636,295
5,8,7,3,7,58737,723,2,7,58737,296
5,9,2,3,5,59235,494,2,5,59235,297
5,9,5,2,4,59524,598,2,5,59524,298
5,9,10,2,9,59T29,831,2,9,59T29,299
5,10,4,-1,10,5T4JT,978,2,T,5T4TT,300
5,10,10,13,7,5TTK7,415,2,T,5TTK7,301
5,10,14,5,3,5TA53,104,2,5,5TA53,302
5,12,7,3,12,5Q73Q,34,2,Q,5Q73Q,303
5,13,-1,3,3,5KJ33,229,2,3,5K333,304
5,14,3,13,3,5A3K3,68,2,3,5A3K3,305
5,14,5,9,8,5A598,369,2,5,5A598,306
5,14,8,8,10,5A88T,732,2,8,5A88T,307
6,-1,12,6,10,6JQ6T,928,2,6,66Q6T,308
6,2,10,2,8,62T28,288,2,2,62T28,309
6,2,14,-1,2,62AJ2,934,2,2,62A22,310
6,3,3,14,-1,633AJ,604,2,3,633A3,311
6,5,-1,-1,14,65JJA,157,2,A,65AAA,312
6,5,7,7,12,6577Q,916,2,7,6577Q,313
6,5,9,10,6,659T6,336,2,6,659T6,314
6,5,12,7,5,65Q75,669,2,5,65Q75,315
6,6,2,-1,10,662JT,662,2,6,6626T,316
6,6,8,-1,14,668JA,922,2,6,6686A,317
6,6,8,7,2,66872,267,2,6,66872,318
6,7,4,2,2,67422,700,2,2,67422,319
6,9,3,3,7,69337,252,2,3,69337,320
6,9,12,4,9,69Q49,921,2,9,69Q49,321
6,12,5,12,-1,6Q5QJ,240,2,Q,6Q5QQ,322
6,13,2,2,4,6K224,456,2,2,6K224,323
6,13,7,5,6,6K756,257,2,6,6K756,324
6,13,8,-1,13,6K8JK,832,2,K,6K8KK,325
6,14,9,7,7,6A977,146,2,7,6A977,326
7,-1,6,2,6,7J626,16,2,6,76626,327
7,-1,9,-1,4,7J9J4,106,2,9,79994,328
7,2,5,6,7,72567,787,2,7,72567,329
7,3,7,4,14,7374A,261,2,7,7374A,330
7,3,10,7,6,73T76,716,2,7,73T76,331
7,3,12,-1,7,73QJ7,878,2,7,73Q77,332
7,4,14,5,4,74A54,388,2,4,74A54,333
7,5,9,9,-1,7599J,147,2,9,75999,334
7,5,9,9,12,7599Q,499,2,9,7599Q,335
7,6,4,4,12,7644Q,924,2,4,7644Q,336
7,6,6,14,3,766A3,128,2,6,766A3,337
7,6,8,7,3,76873,525,2,7,76873,338
7,7,10,8,5,77T85,361,2,7,77T85,339
7,9,12,7,14,79Q7A,23,2,7,79Q7A,340
7,9,13,5,7,79K57,933,2,7,79K57,341
7,9,14,4,4,79A44,932,2,4,79A44,342
7,12,-1,13,13,7QJKK,442,2,K,7QKKK,343
7,14,5,7,-1,7A57J,782,2,7,7A577,344
8,-1,-1,14,5,8JJA5,197,2,A,8AAA5,345
8,2,10,3,8,82T38,961,2,8,82T38,346
8,4,8,7,14,8487A,190,2,8,8487A,347
8,5,5,4,13,8554K,466,2,5,8554K,348
8,5,5,12,2,855Q2,230,2,5,855Q2,349
8,6,12,7,7,86Q77,453,2,7,86Q77,350
8,8,14,10,9,88AT9,526,2,8,88AT9,351
8,10,-1,7,8,8TJ78,189,2,8,8T878,352
8,12,8,-1,6,8Q8J6,882,2,8,8Q886,353
8,12,13,6,13,8QK6K,41,2,K,8QK6K,354
8,13,8,5,-1,8K85J,594,2,8,8K858,355
8,13,12,7,7,8KQ77,952,2,7,8KQ77,356
8,13,13,9,4,8KK94,553,2,K,8KK94,357
8,14,3,3,-1,8A33J,965,2,3,8A333,358
8,14,9,7,14,8A97A,133,2,A,8A97A,359
9,-1,10,10,7,9JTT7,661,2,T,9TTT7,360
9,2,-1,5,2,92J52,548,2,2,92252,361
9,5,6,5,14,9565A,407,2,5,9565A,362
9,5,6,6,13,9566K,908,2,6,9566K,363
9,5,6,14,14,956AA,242,2,A,956AA,364
9,7,4,7,8,97478,268,2,7,97478,365
9,8,3,8,6,98386,403,2,8,98386,366
9,9,7,5,14,9975A,183,2,9,9975A,367
9,9,14,-1,6,99AJ6,316,2,9,99A96,368
9,12,8,14,8,9Q8A8,759,2,8,9Q8A8,369
9,12,9,-1,8,9Q9J8,768,2,9,9Q998,370
9,13,10,8,13,9KT8K,329,2,K,9KT8K,371
9,14,-1,4,-1,9AJ4J,137,2,A,9AA4A,372
10,-1,2,6,2,TJ262,258,2,2,T2262,373
10,-1,2,8,2,TJ282,262,2,2,T2282,374
10,-1,7,4,7,TJ747,493,2,7,T7747,375
10,3,8,5,5,T3855,562,2,5,T3855,376
10,3,14,12,3,T3AQ3,621,2,3,T3AQ3,377
10,5,4,8,8,T5488,585,2,8,T5488,378
10,5,9,-1,5,T59J5,849,2,5,T5955,379
10,5,12,-1,5,T5QJ5,96,2,5,T5Q55,380
10,6,-1,4,-1,T6J4J,400,2,T,T6T4T,381
10,6,2,8,10,T628T,750,2,T,T628T,382
10,6,5,10,2,T65T2,310,2,T,T65T2,383
10,7,6,9,9,T7699,365,2,9,T7699,384
10,8,7,8,9,T8789,681,2,8,T8789,385
10,9,2,10,8,T92T8,668,2,T,T92T8,386
10,9,4,10,2,T94T2,589,2,T,T94T2,387
10,9,9,12,-1,T99QJ,958,2,9,T99Q9,388
10,10,3,12,7,TT3Q7,385,2,T,TT3Q7,389
10,13,2,10,7,TK2T7,225,2,T,TK2T7,390
10,14,14,3,12,TAA3Q,803,2,A,TAA3Q,391
12,-1,4,13,4,QJ4K4,461,2,4,Q44K4,392
12,-1,12,3,6,QJQ36,694,2,Q,QQQ36,393
12,-1,14,14,3,QJAA3,308,2,A,QAAA3,394
12,4,12,14,5,Q4QA5,429,2,Q,Q4QA5,395
12,7,2,14,14,Q72AA,358,2,A,Q72AA,396
12,7,9,4,4,Q7944,355,2,4,Q7944,397
12,8,5,5,3,Q8553,632,2,5,Q8553,398
12,8,5,9,9,Q8599,14,2,9,Q8599,399
12,9,-1,9,4,Q9J94,246,2,9,Q9994,400
12,9,4,7,12,Q947Q,284,2,Q,Q947Q,401
12,12,-1,5,14,QQJ5A,982,2,Q,QQQ5A,402
12,12,-1,8,2,QQJ82,680,2,Q,QQQ82,403
12,12,-1,9,5,QQJ95,685,2,Q,QQQ95,404
12,12,10,7,4,QQT74,642,2,Q,QQT74,405
12,12,13,2,7,QQK27,822,2,Q,QQK27,406
12,13,13,10,6,QKKT6,736,2,K,QKKT6,407
12,14,-1,10,12,QAJTQ,990,2,Q,QAQTQ,408
12,14,3,3,8,QA338,220,2,3,QA338,409
12,14,5,2,14,QA52A,397,2,A,QA52A,410
13,2,-1,2,6,K2J26,514,2,2,K2226,411
13,2,3,2,6,K2326,564,2,2,K2326,412
13,3,10,12,10,K3TQT,506,2,T,K3TQT,413
13,4,8,10,13,K48TK,902,2,K,K48TK,414
13,5,6,2,2,K5622,984,2,2,K5622,415
13,6,-1,5,5,K6J55,153,2,5,K6555,416
13,6,2,7,13,K627K,869,2,K,K627K,417
13,7,5,14,14,K75AA,292,2,A,K75AA,418
13,7,13,9,3,K7K93,138,2,K,K7K93,419
13,12,6,4,6,KQ646,812,2,6,KQ646,420
13,13,6,4,14,KK64A,234,2,K,KK64A,421
13,13,9,8,5,KK985,627,2,K,KK985,422
13,13,10,8,2,KKT82,502,2,K,KKT82,423
13,14,13,3,10,KAK3T,134,2,K,KAK3T,424
14,-1,-1,9,10,AJJ9T,937,2,A,AAA9T,425
14,-1,5,9,9,AJ599,419,2,9,A9599,426
14,-1,12,7,12,AJQ7Q,802,2,Q,AQQ7Q,427
14,3,6,-1,-1,A36JJ,452,2,A,A36AA,428
14,4,8,13,13,A48KK,920,2,K,A48KK,429
14,4,9,9,2,A4992,6,2,9,A4992,430
14,8,-1,9,8,A8J98,684,2,8,A8898,431
14,8,14,9,6,A8A96,863,2,A,A8A96,432
14,9,-1,10,14,A9JTA,198,2,A,A9ATA,433
14,9,5,13,9,A95K9,659,2,9,A95K9,434
14,9,8,14,-1,A98AJ,180,2,A,A98AA,435
14,10,8,4,14,AT84A,227,2,A,AT84A,436
14,12,-1,-1,4,AQJJ4,824,2,A,AQAA4,437
14,13,9,10,13,AK9TK,936,2,K,AK9TK,438
14,14,10,8,9,AAT89,959,2,A,AAT89,439
-1,-1,8,10,10,JJ8TT,983,3,T,TT8TT,440
-1,-1,12,14,14,JJQAA,675,3,A,AAQAA,441
-1,2,12,12,2,J2QQ2,105,3,Q,Q2QQ2,442
-1,4,3,-1,3,J43J3,547,3,3,34333,443
-1,4,3,3,4,J4334,907,3,4,44334,444
-1,4,14,14,-1,J4AAJ,298,3,A,A4AAA,445
-1,5,5,14,-1,J55AJ,518,3,5,555A5,446
-1,6,6,7,-1,J667J,15,3,6,66676,447
-1,6,6,13,13,J66KK,84,3,K,K66KK,448
-1,6,8,8,6,J6886,998,3,8,86886,449
-1,7,-1,7,9,J7J79,279,3,7,77779,450
-1,10,3,10,-1,JT3TJ,326,3,T,TT3TT,451
-1,12,8,12,8,JQ8Q8,587,3,Q,QQ8Q8,452
-1,12,13,13,12,JQKKQ,533,3,K,KQKKQ,453
-1,13,9,-1,9,JK9J9,319,3,9,9K999,454
-1,14,7,7,14,JA77A,339,3,A,AA77A,455
2,-1,-1,2,6,2JJ26,954,3,2,22226,456
2,-1,7,7,2,2J772,145,3,7,27772,457
2,-1,9,2,9,2J929,12,3,9,29929,458
2,2,5,3,3,22533,948,3,3,22533,459
2,2,6,4,6,22646,420,3,6,22646,460
2,2,9,7,7,22977,515,3,7,22977,461
2,2,12,12,4,22QQ4,31,3,Q,22QQ4,462
2,2,14,-1,14,22AJA,455,3,A,22AAA,463
2,2,14,8,14,22A8A,126,3,A,22A8A,464
2,3,3,2,14,2332A,798,3,3,2332A,465
2,6,12,6,2,26Q62,931,3,6,26Q62,466
2,8,-1,2,8,28J28,39,3,8,28828,467
2,8,8,13,2,288K2,371,3,8,288K2,468
2,9,9,2,12,2992Q,551,3,9,2992Q,469
2,13,13,-1,2,2KKJ2,101,3,K,2KKK2,470
2,14,14,2,9,2AA29,713,3,A,2AA29,471
3,2,14,2,14,32A2A,866,3,A,32A2A,472
3,3,9,14,14,339AA,754,3,A,339AA,473
3,4,4,7,3,34473,702,3,4,34473,474
3,5,-1,3,5,35J35,381,3,5,35535,475
3,5,5,3,2,35532,480,3,5,35532,476
3,7,7,9,9,37799,844,3,9,37799,477
3,8,6,8,6,38686,806,3,8,38686,478
3,8,9,3,9,38939,205,3,9,38939,479
3,8,14,3,8,38A38,578,3,8,38A38,480
3,9,10,10,9,39TT9,683,3,T,39TT9,481
3,10,3,12,10,3T3QT,408,3,T,3T3QT,482
3,10,10,3,-1,3TT3J,174,3,T,3TT3T,483
3,12,3,-1,12,3Q3JQ,528,3,Q,3Q3QQ,484
3,12,3,10,12,3Q3TQ,501,3,Q,3Q3TQ,485
4,2,2,4,10,4224T,560,3,4,4224T,486
4,2,3,2,3,42323,747,3,3,42323,487
4,2,5,2,4,42524,356,3,4,42524,488
4,4,5,5,12,4455Q,927,3,5,4455Q,489
4,4,7,14,7,447A7,896,3,7,447A7,490
